,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
350,2014-05-30,34.8945,62606,75407,81813,69012,288838,686,580,130,142,1538
351,2014-06-02,34.93,61639,75417,84177,70399,291632,678,591,132,145,1546
352,2014-06-03,35.0695,61218,75430,85752,71540,293940,669,610,132,147,1558
353,2014-06-04,34.9995,60621,78908,94242,75955,309726,656,624,137,148,1565
354,2014-06-05,34.7415,62350,81465,97039,77924,318778,674,633,141,151,1599
355,2014-06-06,34.418,66923,84125,96711,79509,327268,694,635,142,150,1621
356,2014-06-09,34.34,69215,82457,92288,79046,323006,715,631,142,145,1633
357,2014-06-10,34.365,72468,82483,89621,79606,324178,727,631,145,143,1646
358,2014-06-11,34.379,74120,83721,93931,84330,336102,747,636,148,145,1676
359,2014-06-13,34.452,76047,82254,89962,83755,332018,773,638,151,143,1705
360,2014-06-16,34.6385,9858,16761,24026,17123,67768,181,162,64,51,458
361,2014-06-17,34.8265,14337,21529,25293,18101,79260,227,199,82,53,561
362,2014-06-18,34.42,16333,26188,28719,18864,90104,252,217,86,59,614
363,2014-06-19,34.396,18281,28826,30080,19535,96722,312,252,95,62,721
364,2014-06-20,34.479,19902,30522,30555,19935,100914,322,268,96,67,753
365,2014-06-23,34.127,21436,34006,33073,20503,109018,358,292,98,75,823
366,2014-06-24,33.8175,26062,38888,35506,22680,123136,417,326,108,88,939
367,2014-06-25,33.7455,28764,44103,43506,28167,144540,474,346,118,92,1030
368,2014-06-26,33.72,30960,46071,44828,29717,151576,504,359,122,95,1080
369,2014-06-27,33.738,33416,46719,46800,33497,160432,540,381,140,115,1176
370,2014-06-30,33.9825,36548,49662,53711,40597,180518,566,397,138,127,1228
371,2014-07-01,34.34,35087,49244,55550,41393,181274,551,414,139,129,1233
372,2014-07-02,34.281,34843,49753,57797,42887,185280,544,434,145,132,1255
373,2014-07-03,34.284,35274,49540,64304,50038,199156,552,438,145,134,1269
374,2014-07-04,34.42,35563,49297,64519,50785,200164,540,440,148,135,1263
375,2014-07-07,34.455,36044,48952,64747,51839,201582,534,441,151,138,1264
376,2014-07-08,34.23,36942,49387,65834,53389,205552,540,444,148,143,1275
377,2014-07-09,33.9125,38512,51913,67124,53723,211272,557,450,152,143,1302
378,2014-07-10,33.95,41192,53865,67763,55090,217910,584,458,153,142,1337
379,2014-07-11,34.2055,42444,56406,69510,55548,223908,579,461,153,144,1337
380,2014-07-14,34.3275,41345,57142,72407,56610,227504,560,476,156,144,1336
381,2014-07-15,34.3945,19264,34316,62991,47939,164510,289,237,107,107,740
382,2014-07-16,34.3875,20852,36603,64356,48605,170416,324,278,114,112,828
383,2014-07-17,35.182,25713,41106,68426,53033,188278,329,322,130,131,912
384,2014-07-18,35.1425,26200,42429,71340,55111,195080,345,357,140,136,978
385,2014-07-21,35.19,27079,46151,74450,55378,203058,369,400,147,138,1054
386,2014-07-22,34.996,27651,47955,79597,59293,214496,375,418,147,149,1089
387,2014-07-23,34.8995,29538,47955,80391,61974,219858,396,427,151,150,1124
388,2014-07-24,35.0435,32243,51243,83668,64668,231822,410,450,155,148,1163
389,2014-07-25,35.13,34426,52358,83606,65674,236064,418,461,157,151,1187
390,2014-07-28,35.5425,43522,37478,75202,81246,237448,419,452,163,178,1212
391,2014-07-29,35.8045,44410,38814,75384,80980,239588,414,483,167,180,1244
392,2014-07-30,35.586,41362,38398,79342,82306,241408,430,497,176,185,1288
393,2014-07-31,35.7485,43951,39913,79686,83724,247274,445,514,172,191,1322
394,2014-08-01,35.7495,45816,43243,83847,86420,259326,462,529,169,192,1352
395,2014-08-04,35.783,46514,43677,84071,86908,261170,467,541,166,195,1369
396,2014-08-05,36.0785,48263,44457,85498,89304,267522,480,536,170,196,1382
397,2014-08-06,36.189,49431,44656,86997,91772,272856,480,545,170,196,1391
398,2014-08-07,36.27,51637,45157,87310,93790,277894,478,553,175,193,1399
399,2014-08-08,36.1205,54649,47074,87528,95103,284354,487,573,174,200,1434
400,2014-08-11,35.929,56327,48161,88235,96401,289124,492,597,169,205,1463
401,2014-08-12,36.18,58415,48825,86114,95704,289058,503,607,172,204,1486
402,2014-08-13,36.0005,58233,48286,87353,97300,291172,507,620,176,210,1513
403,2014-08-14,36.036,58670,50218,87363,95815,292066,520,628,180,207,1535
404,2014-08-15,36.131,44622,31028,75493,89087,240230,359,323,135,157,974
405,2014-08-18,36.0595,45137,32019,79387,92505,249048,374,361,139,172,1046
406,2014-08-19,36.185,46350,32833,79905,93422,252510,398,379,141,172,1090
407,2014-08-20,36.3005,46100,33731,82081,94450,256362,418,400,144,173,1135
408,2014-08-21,36.024,46287,35384,84961,95864,262496,423,414,146,172,1155
409,2014-08-22,36.11,46113,36176,89037,98974,270300,428,427,147,180,1182
410,2014-08-25,36.095,46623,36556,89130,99197,271506,438,439,149,182,1208
411,2014-08-26,36.1005,48774,41889,93550,100435,284648,446,470,153,187,1256
412,2014-08-27,36.172,49410,42055,92070,99425,282960,456,475,158,189,1278
413,2014-08-28,36.75,51153,44003,96098,103248,294502,461,501,155,195,1312
414,2014-08-29,37.1235,51275,44832,95817,102260,294184,460,520,155,198,1333
415,2014-09-01,37.302,52699,47574,97675,102800,300748,461,562,158,213,1394
416,2014-09-02,37.4625,53449,48314,148360,153495,403618,477,584,172,221,1454
417,2014-09-03,36.863,54063,49281,150687,155469,409500,501,592,186,228,1507
418,2014-09-04,37.0075,54061,49828,152099,156332,412320,519,596,193,228,1536
419,2014-09-05,36.92,58463,49024,160752,170191,438430,535,594,200,228,1557
420,2014-09-08,37.0695,58659,48763,162026,171922,441370,546,597,204,232,1579
421,2014-09-09,37.1115,59257,50176,163854,172935,446222,548,604,203,234,1589
422,2014-09-10,37.29,62724,52067,168593,179250,462634,548,610,204,239,1601
423,2014-09-11,37.5095,60629,57992,181152,183789,483562,524,619,201,248,1592
424,2014-09-12,37.785,61013,58066,184244,187191,490514,511,623,206,248,1588
425,2014-09-15,38.385,26697,16998,97249,106948,247892,202,224,106,118,650
426,2014-09-16,38.33,39384,27562,109376,121198,297520,298,371,133,158,960
427,2014-09-17,38.419,43144,31469,109944,121619,306176,342,411,138,161,1052
428,2014-09-18,38.478,44014,36132,114785,122667,317598,368,429,141,164,1102
429,2014-09-19,38.4215,44269,36811,115612,123070,319762,379,431,138,165,1113
430,2014-09-22,38.6995,44372,37996,119905,126281,328554,397,438,141,164,1140
431,2014-09-23,38.616,45276,41686,123926,127516,338404,412,459,145,169,1185
432,2014-09-24,38.15,48023,44871,126362,129514,348770,438,463,151,171,1223
433,2014-09-25,38.4915,49307,46534,128804,131577,356222,451,479,154,170,1254
434,2014-09-26,39.1765,49959,47753,134072,136278,368062,458,509,161,179,1307
435,2014-09-29,39.4395,53290,52929,144492,144853,395564,480,540,176,204,1400
436,2014-09-30,39.5925,56271,55855,149980,150396,412502,488,557,182,202,1429
437,2014-10-01,39.7,57952,56707,153512,154757,422928,505,591,190,206,1492
