,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
2200,2021-09-23,72.8425,769619,321457,637017,1085179,2813272,18350,7015,213,146,25724
2201,2021-09-24,72.7225,809451,232509,631396,1208338,2881694,19867,3966,235,117,24185
2202,2021-09-27,72.53,840371,365806,663783,1138348,3008308,18947,7147,216,151,26461
2203,2021-09-28,72.795,916247,259994,633727,1289980,3099948,19642,5048,238,124,25052
2204,2021-09-29,72.84,868935,245169,618067,1241833,2974004,20636,4361,231,132,25360
2205,2021-09-30,72.735,912981,246765,625443,1291659,3076848,20336,4630,246,127,25339
2206,2021-10-01,72.73,937405,236555,702338,1403188,3279486,21660,3457,264,120,25501
2207,2021-10-04,72.51,898430,350725,791077,1338782,3379014,19743,6800,228,151,26922
2208,2021-10-05,72.37,891591,354604,783147,1320134,3349476,19279,7402,219,155,27055
2209,2021-10-06,72.39,920169,259535,692592,1353226,3225522,19477,5789,227,141,25634
2210,2021-10-07,71.7,1005684,365927,733310,1373067,3477988,20422,6670,229,154,27475
2211,2021-10-08,71.875,971138,340933,706756,1336961,3355788,20506,6585,217,152,27460
2212,2021-10-11,71.865,946303,352340,723323,1317286,3339252,20336,7028,221,155,27740
2213,2021-10-12,71.805,1013444,265210,659034,1407268,3344956,22778,4786,246,135,27945
2214,2021-10-13,71.97,1006711,267770,708351,1447292,3430124,22461,4215,251,128,27055
2215,2021-10-14,71.345,988623,394070,717149,1311702,3411544,20333,6608,220,160,27321
2216,2021-10-15,71.025,1041839,379863,689678,1351654,3463034,20441,6623,225,154,27443
2217,2021-10-18,71.2875,958594,349496,716694,1325792,3350576,20485,5699,248,137,26569
2218,2021-10-19,70.8525,983858,405301,709051,1287608,3385818,20134,7172,226,155,27687
2219,2021-10-20,70.8025,972489,388503,693375,1277361,3331728,20141,6294,227,157,26819
2220,2021-10-21,71.095,1056254,293005,672674,1435923,3457856,23592,3948,281,114,27935
2221,2021-10-22,70.3375,1023055,387051,699637,1335641,3445384,20765,6525,248,154,27692
2222,2021-10-25,69.71,1024787,400146,757553,1382194,3564680,20915,6981,238,159,28293
2223,2021-10-26,69.5025,1013328,364786,729536,1378078,3485728,20968,6875,238,168,28249
2224,2021-10-27,70.6425,1004498,279553,719698,1444643,3448392,23346,3633,270,129,27378
2225,2021-10-28,70.2025,1006560,271694,663896,1398762,3340912,21790,4185,256,134,26365
2226,2021-10-29,70.955,1032884,261845,678967,1450006,3423702,23130,3552,286,112,27080
2227,2021-11-01,71.56,963441,320285,747447,1390603,3421776,22157,4395,283,119,26954
2228,2021-11-02,71.5025,945202,336865,805442,1413779,3501288,20961,4338,258,128,25685
2229,2021-11-03,71.73,871114,352144,862422,1381392,3467072,21392,4523,265,123,26303
2230,2021-11-05,71.255,860385,419056,945337,1386666,3611444,19240,6804,243,148,26435
2231,2021-11-08,71.2025,834713,399837,872430,1307306,3414286,18727,7692,233,155,26807
2232,2021-11-09,70.755,922336,455913,781968,1248391,3408608,19266,7725,224,171,27386
2233,2021-11-10,71.3,909544,334645,758421,1333320,3335930,19269,5810,230,160,25469
2234,2021-11-11,71.63,871951,316313,765715,1321353,3275332,19863,5598,247,143,25851
2235,2021-11-12,72.8875,779329,392124,923363,1310568,3405384,19857,5072,280,120,25329
2236,2021-11-15,72.5,728635,399631,954132,1283136,3365534,19322,4805,260,128,24515
2237,2021-11-16,73.13,729877,500818,1006372,1235431,3472498,18968,6478,265,132,25843
2238,2021-11-17,72.5,685954,444847,965786,1206893,3303480,17520,6979,248,157,24904
2239,2021-11-18,73.05,712006,434773,1049712,1326945,3523436,18722,5715,280,129,24846
2240,2021-11-19,73.445,710571,458161,1026639,1279049,3474420,17977,5358,281,122,23738
2241,2021-11-22,74.82,584568,612982,1042482,1014068,3254100,15572,7863,261,139,23835
2242,2021-11-23,74.27,526704,634969,1141023,1032758,3335454,14445,9768,241,166,24620
2243,2021-11-24,74.99,536941,609535,1082000,1009406,3237882,13982,9311,235,159,23687
2244,2021-11-25,74.68,462459,621628,1176982,1017813,3278882,13485,9290,228,162,23165
2245,2021-11-26,75.605,532548,583253,1084183,1033478,3233462,13614,7957,225,148,21944
2246,2021-11-29,74.6,460405,581146,1152727,1031986,3226264,11809,8407,201,169,20586
2247,2021-11-30,74.065,488459,572771,1090585,1006273,3158088,11965,8538,200,171,20874
2248,2021-12-01,74.2775,509456,495993,1027165,1040628,3073242,12868,8236,221,157,21482
2249,2021-12-02,73.64,561099,450754,962412,1072757,3047022,13341,7212,219,158,20930
2250,2021-12-03,73.8325,555755,387892,927916,1095779,2967342,13350,6494,228,159,20231
2251,2021-12-06,74.31,611803,320771,815946,1106978,2855498,14939,5147,256,131,20473
2252,2021-12-07,74.06,582087,369647,879338,1091778,2922850,13973,5776,257,132,20138
2253,2021-12-08,73.5875,539953,405549,886124,1020528,2852154,13099,7569,237,155,21060
2254,2021-12-09,73.685,535289,378655,878108,1034742,2826794,13305,6429,232,155,20121
2255,2021-12-10,73.3725,547780,424302,817992,941470,2731544,12138,8414,222,175,20949
2256,2021-12-13,73.4975,581641,331529,672368,922480,2508018,13515,6987,246,155,20903
2257,2021-12-14,73.8,616493,309143,644880,952230,2522746,13931,6335,241,147,20654
